car_price,manufacturing_year,company,model,condition,cylinders,fuel,dist_reading,title_status,transmission,VIN,drive,size,car_type,color,image_url,county,state,lat,long,posting_date
23500,2008,lexus,sc430,excellent,8 cylinders,gas,73500,clean,automatic,,rwd,,convertible,red,https://images.craigslist.org/01515_clG2bOmsrZez_0CI0mi_600x450.jpg,,al,33.2317,-86.8727,2021-04-26T21:00:30-0500
23900,2006,,LBZ Duramax,,,diesel,195000,clean,automatic,,4wd,full-size,truck,red,https://images.craigslist.org/00J0J_3OY49SPol3Oz_0CI0t2_600x450.jpg,,al,33.611754,-85.828114,2021-04-26T20:46:53-0500
3250,1997,lincoln,town car,good,8 cylinders,gas,142000,clean,other,,rwd,,sedan,,https://images.craigslist.org/00X0X_dpp7TG4GxpRz_0lM0CI_600x450.jpg,,al,33.245005,-86.49931,2021-04-26T20:12:37-0500
3450,1997,honda,accord sedan,,4 cylinders,gas,172295,clean,automatic,1HGCD5602VA199948,fwd,,sedan,black,https://images.craigslist.org/00808_hUi6lAUcDLKz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-26T19:50:22-0500
0,2008,chevrolet,impala,,6 cylinders,gas,157476,clean,automatic,2G1WT55NX81257887,fwd,,sedan,grey,https://images.craigslist.org/01111_fZ369CwLiToz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-26T17:40:12-0500
5000,2005,honda,element ex,good,4 cylinders,gas,182000,clean,automatic,,fwd,,SUV,red,https://images.craigslist.org/00r0r_48srvHCOHi8z_0by0fu_600x450.jpg,,al,34.0821,-87.0484,2021-04-26T17:36:57-0500
34900,2020,nissan,pathfinder,excellent,6 cylinders,gas,15400,clean,automatic,5N1DR2DN2LC622798,rwd,full-size,SUV,white,https://images.craigslist.org/00707_eqTGbfg7JUOz_07K0ak_600x450.jpg,,al,33.3538,-86.8254,2021-04-26T16:00:13-0500
0,2010,chevrolet,cobalt,,4 cylinders,gas,162455,clean,automatic,1G1AF5F59A7187839,fwd,,sedan,,https://images.craigslist.org/00O0O_23XEuWT8UxNz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-26T15:30:37-0500
36995,2013,chevrolet,silverado 3500hd,,,gas,58056,clean,automatic,1GB4CZCG7DF109634,,,,white,https://images.craigslist.org/01111_l9tyPdp7EiJz_0CI0t2_600x450.jpg,,al,34.9506,-85.2432,2021-04-26T14:45:29-0500
34590,2016,chevrolet,silverado 1500 double,good,6 cylinders,gas,29499,clean,other,1GCVKREH6GZ228691,4wd,,pickup,silver,https://images.craigslist.org/00E0E_iKN07Sh7ouz_0gw0co_600x450.jpg,,al,33.52,-86.79,2021-04-26T13:31:01-0500
3650,1999,jeep,grand cherokee,,6 cylinders,gas,151379,clean,automatic,1J4G258SXXC735664,rwd,,SUV,blue,https://images.craigslist.org/00o0o_kmT6KWntBpFz_0kE0fs_600x450.jpg,,al,33.455361,-86.962474,2021-04-26T13:20:33-0500
6900,2001,jeep,cherokee sport,excellent,6 cylinders,gas,144445,clean,automatic,1J4FT48S71L607084,rwd,full-size,SUV,white,https://images.craigslist.org/00V0V_fZjcF1y3iVGz_0CI0t2_600x450.jpg,,al,33.6561,-87.1007,2021-04-26T12:50:46-0500
18000,2016,mazda,cx-5,excellent,4 cylinders,gas,33000,clean,automatic,,,,,,https://images.craigslist.org/00101_6Zf6GHIEa4Yz_0CI0t2_600x450.jpg,,al,33.5283,-86.5748,2021-04-26T12:44:16-0500
27990,2017,chevrolet,colorado extended cab,good,,gas,22120,clean,other,1GCHSCEA7H1203280,,,pickup,,https://images.craigslist.org/00404_3mXHJgsyEyMz_0gw0co_600x450.jpg,,al,33.52,-86.79,2021-04-26T12:21:00-0500
26990,2008,ram,2500 mega cab 4x4,like new,6 cylinders,diesel,172000,clean,automatic,,4wd,full-size,truck,red,https://images.craigslist.org/00O0O_djpgpGA5Cnh_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-26T12:02:06-0500
0,2014,ram,2500 slt 4x4,like new,6 cylinders,diesel,1111111,clean,automatic,,4wd,full-size,truck,white,https://images.craigslist.org/00202_kWIx2P3HBN1z_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-26T12:00:10-0500
17990,2018,ford,edge sel,like new,6 cylinders,gas,1111111,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00K0K_jKDV37d66b8_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-26T11:57:28-0500
11990,2011,audi,a3 tdi premium plus,like new,4 cylinders,diesel,70000,clean,automatic,,fwd,mid-size,sedan,black,https://images.craigslist.org/00E0E_a9M162luJID_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-26T11:54:57-0500
0,2018,chevrolet,silverado 3500 ltz 4x4,like new,8 cylinders,diesel,1111111,clean,automatic,,4wd,full-size,truck,black,https://images.craigslist.org/00k0k_555AXulwLvez_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-26T11:52:52-0500
0,2017,ford,f150 lariat fx4 4x4,like new,8 cylinders,gas,88000,clean,automatic,,4wd,full-size,truck,custom,https://images.craigslist.org/01616_lJOYL0k43Knz_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-26T11:51:09-0500
